title,num_review,num_ratings,url,rating,num_pages,genres
to kill a mockingbird,75722,3504156,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,4.26,324,"classics,fiction,historical"
of mice and men,26309,1592170,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,3.85,112,"fiction,classics,academic"
the giver,56313,1382912,https://www.goodreads.com/book/show/3636.The_Giver,4.12,208,"fiction,childrens,classics"
alice's adventures in wonderland & through the looking-glass,8160,389142,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,4.06,239,"classics,fantasy,fiction"
the catcher in the rye,47062,2232015,https://www.goodreads.com/book/show/7933650-the-catcher-in-the-rye,3.8,230,"classics,fiction,young adult"
the giving tree,15066,750256,https://www.goodreads.com/book/show/370493.The_Giving_Tree,4.38,64,"childrens,childrens,classics"
green eggs and ham,7789,486961,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham,4.3,62,"childrens,childrens,classics"
the kite runner,61937,1974868,https://www.goodreads.com/book/show/77203.The_Kite_Runner,4.27,371,"fiction,historical,contemporary"
lord of the flies,28607,1758915,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,3.65,182,"classics,fiction,young adult"
charlotte's web,13898,1156366,https://www.goodreads.com/book/show/24178.Charlotte_s_Web,4.15,184,"classics,childrens,fiction"
little women,17890,1368788,https://www.goodreads.com/book/show/1934.Little_Women,4.04,449,"classics,fiction,historical"
harry potter and the deathly hallows,54240,1953609,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,4.62,759,"fantasy,young adult,fiction"
the hobbit,39369,2308230,https://www.goodreads.com/book/show/5907.The_Hobbit,4.25,366,"classics,fiction,adventure"
romeo and juliet,15518,1746310,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,3.74,283,"classics,plays,fiction"
the chronicles of narnia,9158,419635,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,4.25,767,"fantasy,classics,fiction"
the book thief,96973,1382779,https://www.goodreads.com/book/show/19063.The_Book_Thief,4.36,552,"historical,fiction,young adult"
the adventures of tom sawyer,7610,623950,https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer,3.9,244,"classics,fiction,adventure"
the book of mormon: another testament of jesus christ,5471,67291,https://www.goodreads.com/book/show/323355.The_Book_of_Mormon,4.37,531,"religion,nonfiction,religion"
"moby-dick or, the whale",11856,413925,https://www.goodreads.com/book/show/153747.Moby_Dick_or_The_Whale,3.47,720,"classics,fiction,literature"
the brothers karamazov,8180,186571,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov,4.31,796,"cultural,literature,literature"
the poisonwood bible,20461,578263,https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible,4.03,546,"historical,fiction,classics"
harry potter and the chamber of secrets,37338,2029902,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,4.39,341,"fantasy,young adult,fiction"
atlas shrugged,15104,308768,https://www.goodreads.com/book/show/662.Atlas_Shrugged,3.68,1168,"fiction,classics,philosophy"
the qur'an / القران الكريم,2691,46341,https://www.goodreads.com/book/show/646462.The_Qur_an_,4.34,604,"religion,religion,nonfiction"
all quiet on the western front,7513,284351,https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front,3.93,296,"classics,fiction,historical"
don quixote,5783,166084,https://www.goodreads.com/book/show/3836.Don_Quixote,3.86,1023,"classics,fiction,literature"
the stand,14632,498392,https://www.goodreads.com/book/show/149267.The_Stand,4.34,1153,"horror,fiction,fantasy"
uncle tom's cabin,6104,164086,https://www.goodreads.com/book/show/46787.Uncle_Tom_s_Cabin,3.84,438,"classics,fiction,historical"
a clockwork orange,10518,480221,https://www.goodreads.com/book/show/227463.A_Clockwork_Orange,3.98,212,"classics,fiction,science fiction"
